part.age.cat,cont.age.cat,wM,wF,w,mMM,mFM,mMF,mFF,m,cMM,cFM,cMF,cFF,c
"[0,1)","[0,1)",94628,89797,184425,0.24158,0.30982,0.29399,0.25163,0.548171038,2.55E-06,3.27E-06,3.27E-06,2.80E-06,2.97E-06
"[1,5)","[0,1)",94628,89797,184425,0.103140411,0.17928206,0.162006377,0.075482469,0.260075847,1.09E-06,1.89E-06,1.80E-06,8.41E-07,1.41E-06
"[5,10)","[0,1)",94628,89797,184425,0.0184408,0.041721501,0.043999877,0.025114193,0.064589868,1.95E-07,4.41E-07,4.90E-07,2.80E-07,3.50E-07
"[10,20)","[0,1)",94628,89797,184425,0.006920798,0.00700798,0.007333926,0.014170233,0.017635976,7.31E-08,7.41E-08,8.17E-08,1.58E-07,9.56E-08
"[20,45)","[0,1)",94628,89797,184425,0.042006351,0.072800183,0.037286811,0.071773381,0.111693567,4.44E-07,7.69E-07,4.15E-07,7.99E-07,6.06E-07
"[45,65)","[0,1)",94628,89797,184425,0.014215463,0.02173296,0.024355431,0.036659822,0.048412718,1.50E-07,2.30E-07,2.71E-07,4.08E-07,2.63E-07
"[65,80)","[0,1)",94628,89797,184425,0.012143801,0.015466547,0.011831743,0.011374896,0.025525373,1.28E-07,1.63E-07,1.32E-07,1.27E-07,1.38E-07
"[0,1)","[1,5)",400286,382170,782456,0.43629,0.72216,0.72406,0.32126,1.103416487,1.09E-06,1.80E-06,1.89E-06,8.41E-07,1.41E-06
"[1,5)","[1,5)",400286,382170,782456,1.667069232,1.458114493,1.392138745,1.71047885,3.112634374,4.16E-06,3.64E-06,3.64E-06,4.48E-06,3.98E-06
"[5,10)","[1,5)",400286,382170,782456,0.660343217,0.795442398,0.906174787,0.706670086,1.535023291,1.65E-06,1.99E-06,2.37E-06,1.85E-06,1.96E-06
"[10,20)","[1,5)",400286,382170,782456,0.064768468,0.060537928,0.0649787,0.09002362,0.139912371,1.62E-07,1.51E-07,1.70E-07,2.36E-07,1.79E-07
"[20,45)","[1,5)",400286,382170,782456,0.201658857,0.332562142,0.164013548,0.384406139,0.540029919,5.04E-07,8.31E-07,4.29E-07,1.01E-06,6.90E-07
"[45,65)","[1,5)",400286,382170,782456,0.079987981,0.114569394,0.100427824,0.145088002,0.219760281,2.00E-07,2.86E-07,2.63E-07,3.80E-07,2.81E-07
"[65,80)","[1,5)",400286,382170,782456,0.053692832,0.068844711,0.061378185,0.07409171,0.130140153,1.34E-07,1.72E-07,1.61E-07,1.94E-07,1.66E-07
"[0,1)","[5,10)",514058,491939,1005997,0.10018,0.25187,0.21691,0.13759,0.352327136,1.95E-07,4.90E-07,4.41E-07,2.80E-07,3.50E-07
"[1,5)","[5,10)",514058,491939,1005997,0.848016877,1.218901593,0.977579614,0.90964801,1.97356595,1.65E-06,2.37E-06,1.99E-06,1.85E-06,1.96E-06
"[5,10)","[5,10)",514058,491939,1005997,5.998964948,2.977754071,2.849685899,4.445005863,8.151381024,1.17E-05,5.79E-06,5.79E-06,9.04E-06,8.10E-06
"[10,20)","[5,10)",514058,491939,1005997,0.562904955,0.392101329,0.4504918,0.494272552,0.95136208,1.10E-06,7.63E-07,9.16E-07,1.00E-06,9.46E-07
"[20,45)","[5,10)",514058,491939,1005997,0.312759529,0.439586075,0.214023639,0.476261975,0.719886447,6.08E-07,8.55E-07,4.35E-07,9.68E-07,7.16E-07
"[45,65)","[5,10)",514058,491939,1005997,0.18338214,0.192976542,0.146950239,0.182235828,0.352615876,3.57E-07,3.75E-07,2.99E-07,3.70E-07,3.51E-07
"[65,80)","[5,10)",514058,491939,1005997,0.075207122,0.08712849,0.112149831,0.159140354,0.219215499,1.46E-07,1.69E-07,2.28E-07,3.23E-07,2.18E-07
"[0,1)","[10,20)",1015181,969044,1984225,0.07424,0.0829,0.07177,0.15292,0.189738717,7.31E-08,8.17E-08,7.41E-08,1.58E-07,9.56E-08
"[1,5)","[10,20)",1015181,969044,1984225,0.16425394,0.172609211,0.146567794,0.228264502,0.354805249,1.62E-07,1.70E-07,1.51E-07,2.36E-07,1.79E-07
"[5,10)","[10,20)",1015181,969044,1984225,1.11165509,0.929632035,0.739156135,0.973643304,1.876466515,1.10E-06,9.16E-07,7.63E-07,1.00E-06,9.46E-07
"[10,20)","[10,20)",1015181,969044,1984225,6.41466432,3.030462266,2.892708435,6.839133202,9.581947738,6.32E-06,2.99E-06,2.99E-06,7.06E-06,4.83E-06
"[20,45)","[10,20)",1015181,969044,1984225,0.484106007,0.501722854,0.505932543,0.81569803,1.152527135,4.77E-07,4.94E-07,5.22E-07,8.42E-07,5.81E-07
"[45,65)","[10,20)",1015181,969044,1984225,0.557394599,0.484974971,0.608336038,0.489347454,1.070693982,5.49E-07,4.78E-07,6.28E-07,5.05E-07,5.40E-07
"[65,80)","[10,20)",1015181,969044,1984225,0.160793319,0.154735422,0.249822193,0.328133355,0.449688846,1.58E-07,1.52E-07,2.58E-07,3.39E-07,2.27E-07
"[0,1)","[20,45)",2835157,2793803,5628960,1.25857,1.17729,2.14936,2.23304,3.409098566,4.44E-07,4.15E-07,7.69E-07,7.99E-07,6.06E-07
"[1,5)","[20,45)",2835157,2793803,5628960,1.428313255,1.216746884,2.321106106,2.810158837,3.884950256,5.04E-07,4.29E-07,8.31E-07,1.01E-06,6.90E-07
"[5,10)","[20,45)",2835157,2793803,5628960,1.724947291,1.23338964,2.389063396,2.70476382,4.028015373,6.08E-07,4.35E-07,8.55E-07,9.68E-07,7.16E-07
"[10,20)","[20,45)",2835157,2793803,5628960,1.351987096,1.480220025,1.380724377,2.351696975,3.269534928,4.77E-07,5.22E-07,4.94E-07,8.42E-07,5.81E-07
"[20,45)","[20,45)",2835157,2793803,5628960,4.222425283,2.839154882,2.797741356,4.575611469,7.216017002,1.49E-06,1.00E-06,1.00E-06,1.64E-06,1.28E-06
"[45,65)","[20,45)",2835157,2793803,5628960,2.695110795,1.535189723,2.17353992,2.486698041,4.448221945,9.51E-07,5.41E-07,7.78E-07,8.90E-07,7.90E-07
"[65,80)","[20,45)",2835157,2793803,5628960,0.988322325,0.655037803,1.215407561,1.159545459,1.993286023,3.49E-07,2.31E-07,4.35E-07,4.15E-07,3.54E-07
"[0,1)","[45,65)",2217144,2186433,4403577,0.33302,0.60133,0.50214,0.89241,1.155824271,1.50E-07,2.71E-07,2.30E-07,4.08E-07,2.62E-07
"[1,5)","[45,65)",2217144,2186433,4403577,0.44305141,0.582625548,0.62579102,0.830055385,1.23678128,2.00E-07,2.63E-07,2.86E-07,3.80E-07,2.81E-07
"[5,10)","[45,65)",2217144,2186433,4403577,0.790933196,0.662277072,0.820786504,0.809941378,1.543502692,3.57E-07,2.99E-07,3.75E-07,3.70E-07,3.51E-07
"[10,20)","[45,65)",2217144,2186433,4403577,1.217350018,1.39185396,1.044523581,1.104105116,2.376194871,5.49E-07,6.28E-07,4.78E-07,5.05E-07,5.40E-07
"[20,45)","[45,65)",2217144,2186433,4403577,2.107631197,1.724897683,1.183913715,1.946119935,3.479887338,9.51E-07,7.78E-07,5.41E-07,8.90E-07,7.90E-07
"[45,65)","[45,65)",2217144,2186433,4403577,2.843524003,1.979855495,1.952434492,2.309320825,4.544334583,1.28E-06,8.93E-07,8.93E-07,1.06E-06,1.03E-06
"[65,80)","[45,65)",2217144,2186433,4403577,1.055931814,0.552060279,1.126241964,1.179147957,1.938299298,4.76E-07,2.49E-07,5.15E-07,5.39E-07,4.40E-07
"[0,1)","[65,80)",847632,998188,1845820,0.10875,0.11167,0.16315,0.12643,0.255442694,1.28E-07,1.32E-07,1.63E-07,1.27E-07,1.38E-07
"[1,5)","[65,80)",847632,998188,1845820,0.113692161,0.136127477,0.171683305,0.193511235,0.306994681,1.34E-07,1.61E-07,1.72E-07,1.94E-07,1.66E-07
"[5,10)","[65,80)",847632,998188,1845820,0.124014535,0.19323356,0.169178268,0.32290367,0.402214061,1.46E-07,2.28E-07,1.69E-07,3.23E-07,2.18E-07
"[10,20)","[65,80)",847632,998188,1845820,0.134253139,0.218525688,0.1521422,0.337998391,0.418319206,1.58E-07,2.58E-07,1.52E-07,3.39E-07,2.27E-07
"[20,45)","[65,80)",847632,998188,1845820,0.295484523,0.368738737,0.230613393,0.414287553,0.653618321,3.49E-07,4.35E-07,2.31E-07,4.15E-07,3.54E-07
"[45,65)","[65,80)",847632,998188,1845820,0.403695089,0.436620231,0.248542576,0.538333344,0.812470293,4.76E-07,5.15E-07,2.49E-07,5.39E-07,4.40E-07
"[65,80)","[65,80)",847632,998188,1845820,0.97846346,0.965324132,1.136789762,1.303488301,2.198295426,1.15E-06,1.14E-06,1.14E-06,1.31E-06,1.19E-06
